tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,specificity,balanced_accuracy,average_precision,roc_auc,predicted_malicious_fraction,n,source,target,model,seed,operating_point,threshold,fit_seconds,inference_seconds
0,1556,0,1517,0.4936544093719492,0.4936544093719492,1.0,0.6610021786492375,1.0,0.0,0.5,0.4936544093719492,0.5,1.0,3073,iscx,iscx,always_malicious,11,default,0.5000000000000001,2.100132405757904e-06,3.709993325173855e-05
0,1556,0,1517,0.4936544093719492,0.4936544093719492,1.0,0.6610021786492375,1.0,0.0,0.5,0.4936544093719492,0.5,1.0,3073,iscx,iscx,always_malicious,11,validation_f1,1.0,2.100132405757904e-06,3.709993325173855e-05
1556,0,1517,0,0.5063455906280507,0.0,0.0,0.0,0.0,1.0,0.5,0.4936544093719492,0.5,0.0,3073,iscx,iscx,always_malicious,11,validation_fpr_limit,1.0000000000000002,2.100132405757904e-06,3.709993325173855e-05
0,5600,0,6129,0.5225509421093018,0.5225509421093018,1.0,0.6864150520775003,1.0,0.0,0.5,0.5225509421093018,0.5,1.0,11729,iscx,mendeley,always_malicious,11,default,0.5000000000000001,2.100132405757904e-06,0.0005493001081049442
0,5600,0,6129,0.5225509421093018,0.5225509421093018,1.0,0.6864150520775003,1.0,0.0,0.5,0.5225509421093018,0.5,1.0,11729,iscx,mendeley,always_malicious,11,validation_f1,1.0,2.100132405757904e-06,0.0005493001081049442
5600,0,6129,0,0.47744905789069825,0.0,0.0,0.0,0.0,1.0,0.5,0.5225509421093018,0.5,0.0,11729,iscx,mendeley,always_malicious,11,validation_fpr_limit,1.0000000000000002,2.100132405757904e-06,0.0005493001081049442
1364,192,288,1229,0.8438008460787504,0.8648838845883181,0.8101516150296638,0.8366235534377128,0.12339331619537275,0.8766066838046273,0.8433791494171455,0.9406952918396636,0.9345532126897731,0.4624145785876993,3073,iscx,iscx,logistic,11,default,5e-324,0.033440399914979935,0.00041089998558163643
1347,209,278,1239,0.8415229417507322,0.8556629834254144,0.8167435728411339,0.8357504215851602,0.13431876606683804,0.865681233933162,0.841212403387148,0.9406952918396636,0.9345532126897731,0.4712007809957696,3073,iscx,iscx,logistic,11,validation_f1,-0.1349935531616211,0.033440399914979935,0.00041089998558163643
1544,12,726,791,0.7598438008460787,0.9850560398505604,0.5214238628872775,0.6818965517241379,0.007712082262210797,0.9922879177377892,0.7568558903125333,0.9406952918396636,0.9345532126897731,0.26130816791409045,3073,iscx,iscx,logistic,11,validation_fpr_limit,2.9301509857177734,0.033440399914979935,0.00041089998558163643
155,5445,930,5199,0.4564754028476426,0.4884441939120631,0.8482623592755751,0.6199248792702557,0.9723214285714286,0.027678571428571427,0.4379704653520733,0.3535363665992691,0.12712840593897862,0.9074942450336773,11729,iscx,mendeley,logistic,11,default,5e-324,0.033440399914979935,0.0004458001349121332
